1,"Umaid Bhawan Palace Museum Jodhpur","Umed Bhawan Palace Road, Cantt Area, Jodhpur, Rajasthan - 342006",30,10,1,0,100,"10:00 AM – 4:30 PM",NA
2,"National Museum India","Janpath, New Delhi - 110011",20,0,1,0,500,"10:00 AM – 6:00 PM","Mondays and National Holidays"
3,"Bagore Ki Haveli Udaipur","Gangaur Ghat Marg, Udaipur, Rajasthan - 313001",60,30,1,50,100,"9:30 AM – 5:30 PM",NA
4,"State Museum","Narhi, Hazratganj, Lucknow",5,2,0,20,50,"10:30 AM – 4:30 PM",Monday
5,"Sudha Cars Museum","Sudha Cars Museum, Hyderabad",0,0,1,0,0,"9:30 AM – 6:30 PM","Holi and Diwali"
6,"Nehru Science Centre","Nehru Science Centre, Mumbai",0,0,0,0,0,"9:30 AM – 6:00 PM","Holi and Diwali"
7,"Birla Industrial & Technological Museum (BITM)","19A, Gurusaday Road, Kolkata - 700019",0,0,1,0,0,"9:30 AM – 6:00 PM","Holi and Diwali"
8,"Maharaja Ranjit Singh Panorama",Amritsar,0,0,1,0,0,"10:00 AM – 5:00 PM",Monday
9,"Subir Raha Oil Museum",Dehradun,0,0,1,0,0,"10:00 AM – 5:00 PM","Saturday, Sunday"
10,"National Agricultural Science Museum","New Delhi",10,0,1,0,10,"10:00 AM – 5:00 PM",Monday
11,"Regional Science City",Lucknow,0,0,0,0,0,"9:30 AM – 5:30 PM",NA
12,"Shillong Science Centre",Shillong,30,20,1,0,30,"10:30 AM – 5:00 PM",NA
13,"Sub Regional Science Centre",Solapur,0,0,0,0,0,"10:00 AM – 5:30 PM",Monday
14,"Regional Science Centre",Jaipur,0,0,1,0,0,"9:00 AM – 1:30 PM",Monday
